businessUnit_name,Description,Address,City,County,State,Postal Code,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status
"BAY MINETTE, AL",WM Supercenter,701 MCMEANS AVE,BAY MINETTE,BALDWIN,AL,36507-3337,2739,No,,No,Not Available
IUKA MS,Wal-Mart,1110 BATTLEGROUND DR,IUKA,TISHOMINGO,MS,38852-1021,274,Yes,Available,Yes,Available
"TAMPA, FL",WM Supercenter,19910 BRUCE B DOWNS BLVD,TAMPA,HILLSBOROUGH,FL,33647-2446,2740,No,Available,No,Not Available
"BENTONVILLE,AR WNM/NEIGHB",Neighborhood Market,3510 SE 14TH ST,BENTONVILLE,BENTON,AR,72712-4931,2741,No,,No,Available
"SPRINGDALE,AR WNM/NEIGHB",Neighborhood Market,1375 MARKET SQUARE DR,SPRINGDALE,WASHINGTON,AR,72762-4984,2742,No,,Yes,
"SHERWOOD,AR WNM NEIGH MKT",Neighborhood Market,8801 HIGHWAY 107,SHERWOOD,PULASKI,AR,72120-2929,2743,No,,No,Available
"FORT SMITH,AR WNM NEIGH M",Neighborhood Market,4900 ROGERS AVE STE 101J,FORT SMITH,SEBASTIAN,AR,72903-2068,2744,Yes,Available,Yes,Available
"FAYETTEVILLE,AR WNM NEIGH",Neighborhood Market,2690 E CITIZENS DR,FAYETTEVILLE,WASHINGTON,AR,72703-4339,2745,No,,No,Available
"WARWICK (W), RI",Wal-Mart,650 BALD HILL RD,WARWICK,KENT,RI,02886-1863,2747,No,,No,
"GULF SHORES, AL",WM Supercenter,170 E FORT MORGAN RD,GULF SHORES,BALDWIN,AL,36542-3510,2748,Yes,Available,Yes,Available
"SPRUCE PINE, NC",WM Supercenter,2514 HALLTOWN RD,SPRUCE PINE,MITCHELL,NC,28777-5461,2749,Yes,,Yes,
LIVINGSTON TX,WM Supercenter,1620 W CHURCH ST,LIVINGSTON,POLK,TX,77351-9043,275,No,Available,Yes,Available
PRINCETON KY,WM Supercenter,1500 US HIGHWAY 62 W,PRINCETON,CALDWELL,KY,42445-6106,204,No,,No,Not Available
"BURLINGTON, NJ",WM Supercenter,2106 MOUNT HOLLY RD,BURLINGTON,BURLINGTON,NJ,08016-4158,2040,Yes,Available,Yes,Available
"PENNSVILLE, NJ",Wal-Mart,709 S BROADWAY,PENNSVILLE,SALEM,NJ,08070-9655,2041,No,Available,Yes,Available
"WARSAW, NY",Wal-Mart,2348 ROUTE 19 N,WARSAW,WYOMING,NY,14569-9356,2043,Yes,,Yes,
"CHICO, CA",Wal-Mart,2044 FOREST AVE,CHICO,BUTTE,CA,95928-7619,2044,No,,Yes,
"WHITE MARSH, MD",WM Supercenter,8118 PERRY HILLS CT,NOTTINGHAM,BALTIMORE,MD,21236-3514,2045,No,Available,Yes,Available
"AUGUSTA, ME",WM Supercenter,201 CIVIC CENTER DR,AUGUSTA,KENNEBEC,ME,04330-8033,2046,No,,Yes,Available
"PALMYRA, ME",WM Supercenter,1573 MAIN ST,PALMYRA,SOMERSET,ME,04965-3236,2047,No,Not Available,No,Not Available
"FAIRFIELD, CA",WM Supercenter,2701 N TEXAS ST,FAIRFIELD,SOLANO,CA,94533-1204,2048,No,Available,Yes,Available
"ALTOONA, PA",WM Supercenter,2600 PLANK ROAD COMMONS,ALTOONA,BLAIR,PA,16601-9310,2049,Yes,Available,Yes,Available
PHILADELPHIA MS,WM Supercenter,1002 W BEACON ST,PHILADELPHIA,NESHOBA,MS,39350-3204,205,Yes,Available,Yes,Available
