OBJECTID,businessUnit_name,businessUnit_number,Description,Type,businessUnit_isStoreOpen,Address,City,County,State,Postal Code,businessUnit_status_code,Operation Status,Modified Operating Hours,Pharmacy open to public,Fuel Station open to public,Business Unit #,Grocery delivery service offered,Grocery delivery status,Online grocery pickup service offered,Online grocery pickup status,x,y,latitude,longitude
29295,"ADAMSVILLE, AL",1158,WM Supercenter,Retail,True,2473 HACKWORTH RD,ADAMSVILLE,JEFFERSON,AL,35214-1909,5,Open,,Y,Y,1158,No,Available,Yes,Available,-9676361.8,3972417.946,33.5792471,-86.9246754
29296,NEW TAZEWELL TN,1159,Wal-Mart,Retail,True,432 S BROAD ST,NEW TAZEWELL,CLAIBORNE,TN,37825-7239,2,Open,,Y,Y,1159,No,,Yes,,-9307340.36,4361251.522,36.4394834,-83.6087453
29297,VIVIAN LA,116,Wal-Mart,Retail,True,929 S PINE ST,VIVIAN,CADDO,LA,71082-3364,5,Open,,Y,Y,116,No,,Yes,,-10462539.45,3876446.985,32.857781,-93.986591
29298,AURORA IN,1160,WM Supercenter,Retail,True,100 SYCAMORE ESTATES DR,AURORA,DEARBORN,IN,47001-1488,5,Open,,Y,Y,1160,Yes,Available,Yes,Available,-9449773.203,4733123.75,39.0798415,-84.8888252
29299,ST CHARLES MO,1161,WM Supercenter,Retail,True,2897 VETERANS MEMORIAL PKWY,SAINT CHARLES,ST. CHARLES,MO,63303-3526,5,Open,,Y,Y,1161,Yes,,Yes,,-10077535.65,4690546.284,38.7890339,-90.5478075
29300,WASHINGTON IN,1162,WM Supercenter,Retail,True,1801 S STATE ROAD 57,WASHINGTON,DAVIESS,IN,47501-4326,5,Open,,Y,Y,1162,Yes,Available,Yes,Available,-9705273.365,4669083.294,38.639882,-87.176879
29301,GRETNA LA,1163,WM Supercenter,Retail,True,4001 BEHRMAN PL,NEW ORLEANS,JEFFERSON,LA,70114-0932,5,Open,,Y,Y,1163,Yes,Not Available,Yes,Available,-10020931.02,3492152.089,29.9164349,-90.0176675
29302,COLUMBIA SC,1164,WM Supercenter,Retail,True,360 HARBISON BLVD,COLUMBIA,LEXINGTON,SC,29212-2248,5,Open,,Y,Y,1164,No,Not Available,No,Not Available,-9033702.692,4038743.424,34.0745153,-81.1504793
29303,RADCLIFF KY,1165,WM Supercenter,Retail,True,1165 WALMART WAY,RADCLIFF,HARDIN,KY,40160-1471,5,Open,,Y,Y,1165,No,Available,Yes,Available,-9567120.979,4558094.632,37.8483689,-85.9418187
29304,ELIZABETHTOWN NC,1166,Wal-Mart,Retail,True,1347 W BROAD ST,ELIZABETHTOWN,BLADEN,NC,28337-9548,2,Open,,Y,Y,1166,No,,No,,-8751935.138,4113813.944,34.630698,-78.6199
29305,KENOSHA WI,1167,WM Supercenter,Retail,True,3500 BRUMBACK BLVD,KENOSHA,KENOSHA,WI,53144-4816,5,Open,,Y,Y,1167,No,Available,No,Available,-9783211.368,5252121.243,42.604659,-87.881488
29306,COLUMBIA MS,1168,WM Supercenter,Retail,True,1001 HIGHWAY 98 BYP,COLUMBIA,MARION,MS,39429-3741,5,Open,,Y,Y,1168,No,,Yes,Available,-9997984.07,3664474.771,31.242862,-89.80882
29307,SPRINGHILL LA,1169,WM Supercenter,Retail,True,1920 S ARKANSAS ST,SPRINGHILL,WEBSTER,LA,71075-4320,5,Open,,Y,Y,1169,No,,Yes,,-10404222.84,3893260.447,32.9846612,-93.462748
29308,BROKEN BOW OK,117,Wal-Mart,Retail,True,501 S PARK DR,BROKEN BOW,MCCURTAIN,OK,74728-5329,2,Open,,Y,Y,117,No,,Yes,,-10546181.13,4031798.511,34.0224747,-94.7379472
29309,LOUISVILLE KY,1170,WM Supercenter,Retail,True,10445 DIXIE HWY,LOUISVILLE,JEFFERSON,KY,40272-3953,5,Open,,Y,Y,1170,No,,Yes,,-9558581.883,4593931.464,38.1028028,-85.8654501
29310,SARASOTA FL,1171,WM Supercenter,Retail,True,8320 LOCKWOOD RIDGE RD,SARASOTA,MANATEE,FL,34243-2902,5,Open,,Y,Y,1171,No,,No,,-9184622.31,3172554.857,27.3926101,-82.5076913
29311,JACKSONVILLE BEACH FL,1172,WM Supercenter,Retail,True,13490 BEACH BLVD,JACKSONVILLE,DUVAL,FL,32224-0290,5,Open,,Y,Y,1172,Yes,Available,Yes,Available,-9068380.494,3540199.15,30.2847567,-81.4626708
